,STATIONS_LOOKUP,STATIONS_MTA,ZIPS,GEOCODES
111,"KNICKERBOCKER station, New York, NY",KNICKERBOCKER,11237.0,"[40.6986749, -73.9196528]"
112,"SENECA AVE station, New York, NY",SENECA AVE,11385.0,"[40.702762, -73.90773999999999]"
113,"FOREST AVE station, New York, NY",FOREST AVE,11385.0,"[40.704422, -73.903076]"
114,"FRESH POND RD station, New York, NY",FRESH POND RD,11385.0,"[40.7062829, -73.8957514]"
118,"190 ST station, New York, NY",190 ST,10040.0,"[40.8588877, -73.9342216]"
119,"181 ST station, New York, NY",181 ST,10040.0,"[40.8491196, -73.9337381]"
120,"175 ST station, New York, NY",175 ST,10033.0,"[40.8479501, -73.9393709]"
122,"155 ST station, New York, NY",155 ST,10032.0,"[40.8310964, -73.9415624]"
123,"145 ST station, New York, NY",145 ST,10031.0,"[40.8240445, -73.9444496]"
124,"135 ST station, New York, NY",135 ST,10037.0,"[40.8141737, -73.9406307]"
125,"125 ST station, New York, NY",125 ST,10035.0,"[40.805157, -73.939149]"
126,"116 ST station, New York, NY",116 ST,10035.0,"[40.7986377, -73.9416325]"
127,"103 ST station, New York, NY",103 ST,10025.0,"[40.7960878, -73.96145260000002]"
128,"96 ST station, New York, NY",96 ST,10025.0,"[40.7941912, -73.9721368]"
129,"81 ST-MUSEUM station, New York, NY",81 ST-MUSEUM,10024.0,"[40.7819786, -73.9720136]"
130,"59 ST COLUMBUS station, New York, NY",59 ST COLUMBUS,10023.0,"[40.7684839, -73.981807]"
131,"42 ST-PORT AUTH station, New York, NY",42 ST-PORT AUTH,10036.0,"[40.757463, -73.98997]"
132,"34 ST-PENN STA station, New York, NY",34 ST-PENN STA,10001.0,"[40.751056, -73.9903102]"
133,"14 ST station, New York, NY",14 ST,10011.0,"[40.7428095, -73.992866]"
134,"W 4 ST-WASH SQ station, New York, NY",W 4 ST-WASH SQ,10012.0,"[40.7311059, -74.0012199]"
135,"SPRING ST station, New York, NY",SPRING ST,10013.0,"[40.7262059, -74.0040108]"
136,"WORLD TRADE CTR station, New York, NY",WORLD TRADE CTR,10006.0,"[40.7116424, -74.0115113]"
140,"CLINTON-WASH AV station, New York, NY",CLINTON-WASH AV,11205.0,"[40.6880915, -73.9675499]"
144,"UTICA AV station, New York, NY",UTICA AV,11213.0,"[40.6689471, -73.93184]"
145,"RALPH AV station, New York, NY",RALPH AV,11233.0,"[40.6787336, -73.9215528]"
146,"ROCKAWAY AV station, New York, NY",ROCKAWAY AV,11233.0,"[40.6784919, -73.91077179999999]"
151,"EUCLID AV station, New York, NY",EUCLID AV,11208.0,"[40.675377, -73.872106]"
152,"GRANT AV station, New York, NY",GRANT AV,11208.0,"[40.6768813, -73.865353]"
157,"AQUEDUCT N.COND station, New York, NY",AQUEDUCT N.COND,11417.0,"[40.6692611, -73.83464]"
165,"BEACH 60 ST station, New York, NY",BEACH 60 ST,11692.0,"[40.592374, -73.788522]"
166,"BEACH 44 ST station, New York, NY",BEACH 44 ST,11691.0,"[40.5929069, -73.77598200000001]"
168,"BEACH 25 ST station, New York, NY",BEACH 25 ST,11691.0,"[40.59967839999999, -73.7617897]"
176,"FORDHAM RD station, New York, NY",FORDHAM RD,10458.0,"[40.8614658, -73.8905425]"
177,"KINGSBRIDGE RD station, New York, NY",KINGSBRIDGE RD,10458.0,"[40.8662419, -73.8939541]"
178,"BEDFORD PK BLVD station, New York, NY",BEDFORD PK BLVD,10458.0,"[40.8732636, -73.8871965]"
179,"NORWOOD 205 ST station, New York, NY",NORWOOD 205 ST,10467.0,"[40.8743016, -73.8775055]"
